1 s a t u
2 d u a 
3 t i g a
4 ə m p a t
5 l i m a
6 ə n a m
7 t u d ʒ u h
8 d ə l a p a n
9 s ə m b i l a n
10 s ə p u l u h
11 s ə b ə l a s
21 d u a p u l u h s a t u
29 d u a p u l u h s ə m b i l a n
30 t i g a p u l u h
100 s ə r a t u s
15 l i m a b ə l a s
1879 d ə l a p a n b ə l a s t u d ʒ u h p u l u h s ə m b i l a n
ambil	a m b i l 
ambilan	a m b i l a n 
ambilkan	a m b i l k a n 
ambin	a m b i n 
ambinan	a m b i n a n 
ambing	a m b i ŋ 
ambingkan	a m b i ŋ k a n 
ambisi	a m b i s i 
ambisius	a m b i s i u s 
ambivalén	a m b i v a l e n 
ambivalénsi	a m b i v a l e n s i 
amblas	a m b l a s 
amblek	a m b l ə ʔ 
ambles	a m b l ə s 
amboi	a m b o i 
ambreng	a m b r ə ŋ 
ambrol	a m b r o l 
ambruk	a m b r u ʔ 
ambu	a m b u 
ambuh	a m b u h 
ambul	a m b u l 
ambulans	a m b u l a n s 
ambung	a m b u ŋ 
amburadul	a m b u r a d u l 
ambur	a m b u r 
ambyar	a m b j a r 
améba	a m e b a 
amébiasis	a m e b i a s i s 
améliorasi	a m e l i o r a s i 
amén	a m e n 
améndemén	a m e n d ə m e n 
amerta	a m ə r t a 
ametis	a m ə t i s 
amfétamin	a m f e t a m i n 
amfibi	a m f i b i 
amfitéater	a m f i t e a t ə r 
ami	a m i 
amikal	a m i k a l 
amil	a m i l 
amilase	a m i l a s ə 
amina	a m i n a 
amin	a m i n 
amino	a m i n o 
amir	a m i r 
amirulbahar	a m i r u l b a h a r 
amirulhaj	a m i r u l h a d ʒ 
amirulmukminin	a m i r u l m u ʔ m i n i n 
amis	a m i s 
amit	a m i t 
amko	a m k o 
amnésia	a m n e s i a 
amnésti	a m n e s t i 
amoi	a m o i 
amonia	a m o n i a 
amonium	a m o n i u m 
amoral	a m o r a l 
amorf	a m o r f 
amortisasi	a m o r t i s a s i 
ampai	a m p a i 
ampaian	a m p a i a n 
ampang	a m p a ŋ 
ampas	a m p a s 
ampat	a m p a t 
ampé	a m p e 
ampéan	a m p e a n 
ampek	a m p ə ʔ 
